Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
8,230,628,28300,1170,27770
28,68,148,1870,1046,1439
28,33,87,1020,719,291.1
28,100,366,5000,725,2970
40,142,529,3100,475,486.4
28,175,212,2800,925,2368
90,143,484,681,513,228.1
28,225,561,7080,706,3524
40,7,75,450,276,44.16
80,10,127,210,400,25.6
22,300,350,5000,1238,650.5
12,150,545,13600,1365,9585
20,15,118,2000,1000,512
14,30,74,1800,1228,1127
40,15,104,627,650,520
40,18,75,450,523,83.68
14,55,123,3000,1000,2115
40,45,116,585,700,268.8
7,45,156,9800,300,2048
65,20,85,180,525,42
12,160,445,10800,1365,6451
40,64,166,1040,750,960
40,43,104,627,650,520
28,225,294,3540,745,2289
14,35,123,3000,800,1024
65,35,153,390,700,168
55,35,192,666,580,371.2
22,45,133,1200,650,320
7,15,156,9800,400,1152
40,108,166,1040,850,1360
28,185,352,4313,925,2842
28,95,160,2080,1000,1536
55,14,121,314,500,80
40,160,332,1950,779,1046
40,75,212,1700,680,1306
28,8,110,1178,300,102.4
40,26,104,716,500,480
55,75,192,666,668,427.5
14,30,132,3300,1228,641
40,204,520,3000,651,1332
65,45,153,390,800,192
40,254,255,1700,800,1536
28,300,352,4313,1000,4301
14,35,103,2200,1124,1248
28,15,110,1178,450,115.2
12,70,545,13600,585,8141
40,64,104,627,775,620
28,108,294,3540,771,2107
40,11,59,292,750,120
40,294,334,2154,725,2320
28,50,77,950,730,599
65,38,144,314,580,44.8
28,60,148,1870,1020,1389
16,250,610,15300,1190,9526
28,75,148,1870,993,1439
28,15,125,1200,200,153.6
14,50,103,2200,980,1071
28,190,366,5000,918,3290
65,20,162,282,450,35.2
40,175,334,2154,850,2720
90,320,484,681,600,345.6
28,130,118,1270,850,326.4
40,106,238,1170,783,451
7,400,826,54200,1095,19490
14,50,103,2200,1082,1559
28,250,366,5000,723,2961
12,80,445,10800,945,5299
40,238,529,3100,574,1028
55,55,135,378,722,173.3
28,375,365,4313,950,4096
12,260,754,18600,1305,14380
14,55,123,3000,784,1849
40,30,104,627,650,520
10,500,190,8000,900,7373
12,230,545,13600,1620,11150
16,120,200,4400,1506,3935
40,228,334,2154,850,2720
